央    视,#genre#
东方卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225659/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225658/index.m3u8
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225673/index.m3u8
广东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225701/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225742/index.m3u8
深圳卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225700/index.m3u8$8M
湖北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225699/index.m3u8$8M
天津卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225698/index.m3u8$8M
安徽卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225691/index.m3u8$8M
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8$8M
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225697/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225738/index.m3u8
黑龙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225690/index.m3u8$8M
东南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225657/index.m3u8$4M
云南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225664/index.m3u8
吉林卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225680/index.m3u8$3.5M
西藏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225723/index.m3u8
广西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225731/index.m3u8
宁夏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225726/index.m3u8
河南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226196/index.m3u8
重庆卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225692/index.m3u8$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225734/index.m3u8
甘肃卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225724/index.m3u8
